What do you think would be an appropriate percentage of your municipal tax bill to go towards these facilities and services?,,,
,,,
Respondents,Response Date,Responses,Tags
,,,
1,Feb 24 2022 08:33 AM,4%,
2,Feb 15 2022 08:49 PM,2-3 percent ,
3,Feb 15 2022 03:37 PM,5,
4,Feb 15 2022 03:36 PM,n/a,
5,Sep 15 2021 06:46 PM,None,
6,Sep 15 2021 11:16 AM,This is not my area of expertise… 3%?,
7,Sep 14 2021 05:29 PM,That much,
8,Sep 11 2021 04:12 PM,?,
9,Aug 28 2021 09:34 PM,I don’t know,
10,Aug 26 2021 06:53 PM,3.7-4.1%,
11,Aug 26 2021 02:51 PM,2.50%,
12,Aug 24 2021 10:29 AM,2.2,
13,Aug 20 2021 11:12 PM,3,
14,Aug 19 2021 11:21 PM,3,
15,Aug 19 2021 07:38 PM,1%-5%,
16,Aug 19 2021 12:24 PM,2.5% - 3%,
17,Aug 18 2021 11:41 AM,5%,
18,Aug 14 2021 07:45 AM,4,
19,Aug 13 2021 08:12 PM,1.50%,
20,Aug 11 2021 03:58 PM,4?,
21,Aug 11 2021 11:54 AM,3,
22,Aug 11 2021 08:15 AM,3-5%,
23,Aug 09 2021 10:20 PM,2.5,
24,Aug 09 2021 06:17 PM,4%,
25,Aug 09 2021 01:53 PM,?,
26,Aug 09 2021 10:05 AM,5%,
27,Aug 09 2021 06:09 AM,4,
28,Aug 08 2021 08:01 PM,6%,
29,Aug 08 2021 07:42 PM,2.2,
30,Aug 08 2021 05:16 PM,2.5,
31,Aug 08 2021 04:02 PM,5%,
32,Aug 08 2021 02:55 PM,3 -5 percent,
33,Aug 08 2021 01:45 PM,"I think the current amount seems reasonable, but I would be comfortable with something double that.",
34,Aug 08 2021 12:49 PM,3,
35,Aug 08 2021 11:07 AM,4%,
36,Aug 08 2021 11:07 AM,3%,
37,Aug 08 2021 09:03 AM,Not a Montpelier resident so I don't want to speak on their behalf,
38,Aug 07 2021 08:53 PM,IDK,
39,Aug 07 2021 08:34 PM,Not a Montpelier resident,
40,Aug 07 2021 08:11 PM,"road repair and upkeep,  water and sewer come first",
41,Aug 07 2021 06:15 PM,No comment,
42,Aug 07 2021 05:43 PM,0,
43,Aug 07 2021 05:05 PM,Not sure,
44,Aug 07 2021 04:09 PM,?,
45,Aug 07 2021 03:49 PM,3:01,
46,Aug 07 2021 03:34 PM,3:01,
47,Aug 07 2021 03:25 PM,these facilities,
48,Aug 07 2021 02:59 PM,3;1,
49,Aug 07 2021 02:46 PM,3:01,
50,Aug 07 2021 02:39 PM, facilities a,
51,Aug 07 2021 02:30 PM,3:01,
52,Aug 07 2021 02:10 PM,percentage,
53,Aug 07 2021 02:03 PM,3;1,
54,Aug 07 2021 01:53 PM,"5% for maintenance of expanded facilities, following creative funding of development costs from other sources",
55,Aug 07 2021 01:43 PM,3:01,
56,Aug 07 2021 01:32 PM,10:05,
57,Aug 07 2021 01:21 PM,3.:1,
58,Aug 07 2021 01:10 PM,10:03,
59,Aug 07 2021 01:04 PM,3:01,
60,Aug 07 2021 12:46 PM,no,
61,Aug 07 2021 12:46 PM, facilities and services,
62,Aug 07 2021 12:29 PM,1000,
63,Aug 07 2021 12:22 PM,percentage,
64,Aug 07 2021 12:12 PM,2:01,
65,Aug 07 2021 12:05 PM,Thirty percent,
66,Aug 07 2021 11:56 AM,"Since I'm not a resident, I really can't say",
67,Aug 07 2021 11:53 AM,5:02,
68,Aug 07 2021 11:50 AM,2;1,
69,Aug 07 2021 11:33 AM,2:01,
70,Aug 07 2021 11:26 AM,1.50%,
71,Aug 07 2021 11:16 AM,2:01,
72,Aug 07 2021 10:50 AM,no,
73,Aug 07 2021 10:30 AM,no,
74,Aug 07 2021 10:13 AM,3:01,
75,Aug 07 2021 09:58 AM,3.20%,
76,Aug 07 2021 09:31 AM,2.20%,
77,Aug 06 2021 10:41 PM,3-5%,
78,Aug 06 2021 07:58 PM,I feel 5% would be good,
79,Aug 06 2021 02:33 PM,The present level of funding seems to provide adequate support for the parts of the system that I use.,
80,Aug 06 2021 08:26 AM,"not sure, not a montpelier tax payer",
81,Aug 06 2021 08:10 AM,Unsure,
82,Aug 06 2021 12:38 AM,don't know,
83,Aug 05 2021 10:37 PM,3.50%,
84,Aug 05 2021 09:42 PM,I’m open,
85,Aug 05 2021 09:31 PM,5%,
86,Aug 05 2021 09:06 PM,4%,
87,Aug 05 2021 07:23 PM,At least 5%,
88,Aug 05 2021 05:31 PM,5%,
89,Aug 05 2021 02:03 PM,$75 ,
90,Aug 05 2021 12:23 PM,"10-20% would not be too much, to foster the health of its citizens.",
91,Aug 05 2021 12:22 PM,3-5% if overall city spending were held constant,
92,Aug 05 2021 05:44 AM,2.80%,
93,Aug 04 2021 10:27 PM,5%,
94,Aug 04 2021 10:04 PM,0.50%,
95,Aug 04 2021 05:21 PM,We have a good park system that is well maintained,
96,Aug 04 2021 04:33 PM,4%,
97,Aug 04 2021 02:41 PM,5%,
98,Aug 04 2021 01:02 PM,5%,
99,Aug 04 2021 12:48 PM,4%,
100,Aug 04 2021 12:17 PM,4%,
101,Aug 04 2021 10:21 AM,2.50%,
102,Aug 04 2021 09:05 AM,double this,
103,Aug 04 2021 08:50 AM,3 to 4%,
104,Aug 04 2021 08:32 AM,?,
105,Aug 03 2021 05:45 PM,2.20%,
106,Aug 03 2021 05:11 PM,2-5%,
107,Aug 03 2021 04:14 PM,5-Mar,
108,Aug 03 2021 03:44 PM,2.2,
109,Aug 03 2021 03:40 PM,2.2,
110,Aug 03 2021 11:25 AM,5%,
111,Aug 03 2021 11:11 AM,At least 5%,
112,Aug 03 2021 10:19 AM,"At least 5%, they are for all of us to use.",
113,Aug 03 2021 10:18 AM,Current rate,
114,Aug 03 2021 09:52 AM,2.5,
115,Aug 03 2021 09:25 AM,4%,
116,Aug 03 2021 08:05 AM,3%,
117,Aug 03 2021 07:26 AM,5%,
118,Aug 03 2021 05:09 AM,2.2,
119,Aug 02 2021 10:15 PM,4%,
120,Aug 02 2021 10:14 PM,8,
121,Aug 02 2021 10:03 PM,5%,
122,Aug 02 2021 09:55 PM,5%,
123,Aug 02 2021 09:19 PM,10%,
124,Aug 02 2021 09:07 PM,3%,
125,Aug 02 2021 09:06 PM,1.39%,
126,Aug 02 2021 09:03 PM,5%,
127,Aug 02 2021 09:02 PM,10%,
128,Aug 02 2021 08:51 PM,Not enough information to fathom a guess. ,
129,Aug 02 2021 08:29 PM,3%,
130,Aug 02 2021 08:21 PM,3%,
131,Aug 02 2021 08:18 PM,5 to 7 percent,
132,Aug 02 2021 07:53 PM,10,
133,Aug 02 2021 07:45 PM,5%,
134,Aug 02 2021 07:35 PM,Maybe 2.5%???,
135,Aug 02 2021 07:34 PM,2.5,
136,Aug 02 2021 07:03 PM,???,
137,Aug 02 2021 06:56 PM,2.5,
138,Aug 02 2021 06:51 PM,5%,
139,Aug 02 2021 06:40 PM,It’s fine where it is ,
140,Aug 02 2021 06:32 PM,5%,
141,Aug 02 2021 06:29 PM,2.5. %,
142,Aug 02 2021 06:23 PM,3%,
143,Aug 02 2021 05:51 PM,works now ,
144,Aug 02 2021 05:50 PM,I don't know,
145,Aug 02 2021 05:46 PM,0.01,
146,Aug 02 2021 05:43 PM,75,
147,Aug 02 2021 05:40 PM,1%,
148,Aug 02 2021 05:29 PM,4,
149,Aug 02 2021 05:28 PM,3.5,
150,Aug 02 2021 05:19 PM,5-10%,
151,Aug 02 2021 04:38 PM,3,
152,Aug 02 2021 03:25 PM,3%,
153,Aug 02 2021 03:19 PM,2,
154,Aug 02 2021 02:51 PM,3%,
155,Aug 02 2021 02:48 PM,3%,
156,Aug 02 2021 02:31 PM,4%,
157,Aug 02 2021 02:03 PM,3,
158,Aug 02 2021 01:00 PM,10%-20%,
159,Aug 02 2021 12:47 PM,4-5%,
